Date,Close/Last
4/10/2023,4136.25
4/06/2023,4132
4/05/2023,4117.25
4/04/2023,4129
4/03/2023,4153.75
03/31/2023,4137.75
03/30/2023,4080
03/29/2023,4057.5
03/28/2023,4001.5
03/27/2023,4007.25
03/24/2023,4001.25
03/23/2023,3978
03/22/2023,3970.5
03/21/2023,4035.75
03/20/2023,3983
03/17/2023,3947
03/16/2023,3994.5
03/15/2023,3925
03/14/2023,3920.5
03/13/2023,3856.75
3/10/2023,3862.75
3/09/2023,3920
3/08/2023,3995
3/07/2023,3989.75
3/06/2023,4052.5
3/03/2023,4049.75
3/02/2023,3984.75
3/01/2023,3956.5
02/28/2023,3975.5
02/27/2023,3988
02/24/2023,3975.75
02/23/2023,4018.75
02/22/2023,3999
02/21/2023,4005.75
02/17/2023,4087.5
02/16/2023,4099.75
02/15/2023,4158.25
02/14/2023,4145.5
02/13/2023,4147.25
2/10/2023,4099.75
2/09/2023,4091.75
2/08/2023,4130.5
2/07/2023,4175.75
2/06/2023,4123.5
2/03/2023,4147.75
2/02/2023,4191.5
2/01/2023,4132.25
01/31/2023,4090
01/30/2023,4032.5
01/27/2023,4084.25
01/26/2023,4075.5
01/25/2023,4032
01/24/2023,4032.75
01/23/2023,4036.5
01/20/2023,3988.5
01/19/2023,3915.5
01/18/2023,3945.75
01/17/2023,4009.5
01/13/2023,4018.25
1/12/2023,4003.5
1/11/2023,3990
1/10/2023,3940.75
1/09/2023,3913.75
1/06/2023,3915.5
1/05/2023,3829
1/04/2023,3874.5
1/03/2023,3846
12/30/2022,3861
12/29/2022,3871.75
12/28/2022,3807.5
12/27/2022,3855
12/23/2022,3869.75
12/22/2022,3849.25
12/21/2022,3905.75
12/20/2022,3849.25
12/19/2022,3845.5
12/16/2022,3879
12/15/2022,3927.25
12/14/2022,4030.75
12/13/2022,4022.25
12/12/2022,3991.75
12/09/2022,3936.25
12/08/2022,3965.75
12/07/2022,3936.75
12/06/2022,3945
12/05/2022,4003.25
12/02/2022,4075.5
12/01/2022,4081.75
11/30/2022,4081.25
11/29/2022,3962
11/28/2022,3970.25
11/25/2022,4032.5
11/23/2022,4033
11/22/2022,4010.25
11/21/2022,3958
11/18/2022,3974
11/17/2022,3955.25
11/16/2022,3968.5
11/15/2022,3999.5
11/14/2022,3966
